estado_pob,origen_jefe,trifecta,expr
Pobreza ingresos y multidim.,Hogares chilenos,Conectividad digital,2372
Pobreza ingresos y multidim.,Hogares chilenos,Déficit cuantitativo,2864
Pobreza ingresos y multidim.,Hogares chilenos,Escolaridad,3728
Pobreza ingresos y multidim.,Hogares chilenos,Informalidad,1965
Pobreza ingresos y multidim.,Hogares chilenos,Otras carencias,1728
Pobreza ingresos y multidim.,Hogares inmigrantes,Conectividad digital,2103
Pobreza ingresos y multidim.,Hogares inmigrantes,Déficit cuantitativo,4771
Pobreza ingresos y multidim.,Hogares inmigrantes,Escolaridad,4423
Pobreza ingresos y multidim.,Hogares inmigrantes,Informalidad,1691
Pobreza ingresos y multidim.,Hogares inmigrantes,Otras carencias,534
Pobreza multidimensional,Hogares chilenos,Conectividad digital,2385
Pobreza multidimensional,Hogares chilenos,Déficit cuantitativo,3648
Pobreza multidimensional,Hogares chilenos,Escolaridad,9659
Pobreza multidimensional,Hogares chilenos,Informalidad,5836
Pobreza multidimensional,Hogares chilenos,Otras carencias,5475
Pobreza multidimensional,Hogares inmigrantes,Conectividad digital,1295
Pobreza multidimensional,Hogares inmigrantes,Déficit cuantitativo,2982
Pobreza multidimensional,Hogares inmigrantes,Escolaridad,5185
Pobreza multidimensional,Hogares inmigrantes,Informalidad,1357
Pobreza multidimensional,Hogares inmigrantes,Otras carencias,656
Pobreza por ingresos,Hogares chilenos,Conectividad digital,3224
Pobreza por ingresos,Hogares chilenos,Déficit cuantitativo,2719
Pobreza por ingresos,Hogares chilenos,Escolaridad,3628
Pobreza por ingresos,Hogares chilenos,Informalidad,6515
Pobreza por ingresos,Hogares chilenos,Otras carencias,16629
Pobreza por ingresos,Hogares chilenos,Sin carencias,3061
Pobreza por ingresos,Hogares inmigrantes,Conectividad digital,2417
Pobreza por ingresos,Hogares inmigrantes,Déficit cuantitativo,2495
Pobreza por ingresos,Hogares inmigrantes,Escolaridad,3036
Pobreza por ingresos,Hogares inmigrantes,Informalidad,3986
Pobreza por ingresos,Hogares inmigrantes,Otras carencias,4801
Pobreza por ingresos,Hogares inmigrantes,Sin carencias,401
