anio,zona,pct_inmig
2013,Norte Grande,6.662662573119967
2013,Norte Grande,6.662662573119967
2013,Norte Grande,6.662662573119967
2013,Norte Chico,1.9616966246775551
2013,Norte Chico,1.9616966246775551
2013,Zona Central,3.0239295966000657
2013,Zona Central,3.0239295966000657
2013,Zona Central,3.0239295966000657
2013,Zona Central,3.0239295966000657
2013,Zona Sur,0.45029246994187677
2013,Zona Sur,0.45029246994187677
2013,Zona Sur,0.45029246994187677
2013,Zona Sur,0.45029246994187677
2013,Zona Sur,0.45029246994187677
2013,Zona Austral,1.1495320591718725
2013,Zona Austral,1.1495320591718725
2015,Norte Grande,8.222280882515731
2015,Norte Grande,8.222280882515731
2015,Norte Grande,8.222280882515731
2015,Norte Chico,1.4397637956378997
2015,Norte Chico,1.4397637956378997
2015,Zona Central,4.418833114943025
2015,Zona Central,4.418833114943025
2015,Zona Central,4.418833114943025
2015,Zona Central,4.418833114943025
2015,Zona Sur,0.5429258461163159
2015,Zona Sur,0.5429258461163159
2015,Zona Sur,0.5429258461163159
2015,Zona Sur,0.5429258461163159
2015,Zona Sur,0.5429258461163159
2015,Zona Austral,1.7149220489977728
2015,Zona Austral,1.7149220489977728
2017,Norte Grande,10.531679793421924
2017,Norte Grande,10.531679793421924
2017,Norte Grande,10.531679793421924
2017,Norte Chico,1.821449758882578
2017,Norte Chico,1.821449758882578
2017,Zona Central,7.733528343486473
2017,Zona Central,7.733528343486473
2017,Zona Central,7.733528343486473
2017,Zona Central,7.733528343486473
2017,Zona Sur,1.3104148970294875
2017,Zona Sur,1.3104148970294875
2017,Zona Sur,1.3104148970294875
2017,Zona Sur,1.3104148970294875
2017,Zona Sur,1.3104148970294875
2017,Zona Austral,3.0453471550046314
2017,Zona Austral,3.0453471550046314
2022,Norte Grande,16.09244577934551
2022,Norte Grande,16.09244577934551
2022,Norte Grande,16.09244577934551
2022,Norte Chico,5.783054775677866
2022,Norte Chico,5.783054775677866
2022,Zona Central,11.380330918492634
2022,Zona Central,11.380330918492634
2022,Zona Central,11.380330918492634
2022,Zona Central,11.380330918492634
2022,Zona Sur,2.383210291250936
2022,Zona Sur,2.383210291250936
2022,Zona Sur,2.383210291250936
2022,Zona Sur,2.383210291250936
2022,Zona Sur,2.383210291250936
2022,Zona Austral,4.722411676442505
2022,Zona Austral,4.722411676442505
2024,Norte Grande,19.074837726865947
2024,Norte Grande,19.074837726865947
2024,Norte Grande,19.074837726865947
2024,Norte Chico,5.434260434367986
2024,Norte Chico,5.434260434367986
2024,Zona Central,10.32853477813109
2024,Zona Central,10.32853477813109
2024,Zona Central,10.32853477813109
2024,Zona Central,10.32853477813109
2024,Zona Sur,2.7367718183786907
2024,Zona Sur,2.7367718183786907
2024,Zona Sur,2.7367718183786907
2024,Zona Sur,2.7367718183786907
2024,Zona Sur,2.7367718183786907
2024,Zona Austral,5.8660552211713
2024,Zona Austral,5.8660552211713
